时间, 传感器, 数值, 单位
2026-02-18 19:02:36, 温度, 0, ℃
2026-02-18 19:02:36, 湿度, 0, rh%
2026-02-18 19:02:36, 二氧化碳, 0, ppm
2026-02-18 19:02:36, 火焰强度, 0, level
2026-02-18 19:02:36, 亮度, 0, lux
2026-02-18 19:02:46, 温度, 0, ℃
2026-02-18 19:02:46, 湿度, 0, rh%
2026-02-18 19:02:46, 二氧化碳, 0, ppm
2026-02-18 19:02:46, 火焰强度, 0, level
2026-02-18 19:02:46, 亮度, 0, lux
2026-02-18 19:02:56, 温度, 0, ℃
2026-02-18 19:02:56, 湿度, 0, rh%
2026-02-18 19:02:56, 二氧化碳, 0, ppm
2026-02-18 19:02:56, 火焰强度, 0, level
2026-02-18 19:02:56, 亮度, 0, lux
2026-02-18 19:03:06, 温度, 0, ℃
2026-02-18 19:03:06, 湿度, 0, rh%
2026-02-18 19:03:06, 二氧化碳, 0, ppm
2026-02-18 19:03:06, 火焰强度, 0, level
2026-02-18 19:03:06, 亮度, 0, lux
2026-02-18 19:03:16, 温度, 0, ℃
2026-02-18 19:03:16, 湿度, 0, rh%
2026-02-18 19:03:16, 二氧化碳, 0, ppm
2026-02-18 19:03:16, 火焰强度, 0, level
2026-02-18 19:03:16, 亮度, 0, lux
2026-02-18 19:03:26, 温度, 0, ℃
2026-02-18 19:03:26, 湿度, 0, rh%
2026-02-18 19:03:26, 二氧化碳, 0, ppm
2026-02-18 19:03:26, 火焰强度, 0, level
2026-02-18 19:03:26, 亮度, 0, lux
2026-02-18 19:03:36, 温度, 0, ℃
2026-02-18 19:03:36, 湿度, 0, rh%
2026-02-18 19:03:36, 二氧化碳, 0, ppm
2026-02-18 19:03:36, 火焰强度, 0, level
2026-02-18 19:03:36, 亮度, 0, lux
2026-02-18 19:03:46, 温度, 0, ℃
2026-02-18 19:03:46, 湿度, 0, rh%
2026-02-18 19:03:46, 二氧化碳, 0, ppm
2026-02-18 19:03:46, 火焰强度, 0, level
2026-02-18 19:03:46, 亮度, 0, lux
2026-03-02 20:01:09, 温度, 0, ℃
2026-03-02 20:01:09, 湿度, 0, rh%
2026-03-02 20:01:09, 二氧化碳, 0, ppm
2026-03-02 20:01:09, 火焰强度, 0, level
2026-03-02 20:01:09, 亮度, 0, lux
2026-03-02 20:01:19, 温度, 1, ℃
2026-03-02 20:01:19, 湿度, 1, rh%
2026-03-02 20:01:19, 二氧化碳, 24166, ppm
2026-03-02 20:01:19, 火焰强度, 257, level
2026-03-02 20:01:19, 亮度, 257, lux
2026-03-02 20:01:29, 温度, 1, ℃
2026-03-02 20:01:29, 湿度, 1, rh%
2026-03-02 20:01:29, 二氧化碳, 24166, ppm
2026-03-02 20:01:29, 火焰强度, 350, level
2026-03-02 20:01:29, 亮度, 257, lux
2026-03-02 20:01:39, 温度, 1, ℃
2026-03-02 20:01:39, 湿度, 1, rh%
2026-03-02 20:01:39, 二氧化碳, 24166, ppm
2026-03-02 20:01:39, 火焰强度, 24159, level
2026-03-02 20:01:39, 亮度, 257, lux
2026-03-02 20:01:49, 温度, 1, ℃
2026-03-02 20:01:49, 湿度, 1, rh%
2026-03-02 20:01:49, 二氧化碳, 24166, ppm
2026-03-02 20:01:49, 火焰强度, 24159, level
2026-03-02 20:01:49, 亮度, 257, lux
2026-03-02 20:01:59, 温度, 1, ℃
2026-03-02 20:01:59, 湿度, 1, rh%
2026-03-02 20:01:59, 二氧化碳, 24166, ppm
2026-03-02 20:01:59, 火焰强度, 350, level
2026-03-02 20:01:59, 亮度, 257, lux
2026-03-02 20:02:09, 温度, 1, ℃
2026-03-02 20:02:09, 湿度, 1, rh%
2026-03-02 20:02:09, 二氧化碳, 24166, ppm
2026-03-02 20:02:09, 火焰强度, 4027, level
2026-03-02 20:02:09, 亮度, 257, lux
2026-03-02 20:02:19, 温度, 1, ℃
2026-03-02 20:02:19, 湿度, 1, rh%
2026-03-02 20:02:19, 二氧化碳, 355, ppm
2026-03-02 20:02:19, 火焰强度, 4027, level
2026-03-02 20:02:19, 亮度, 257, lux
2026-03-02 20:02:29, 温度, 1, ℃
2026-03-02 20:02:29, 湿度, 1, rh%
2026-03-02 20:02:29, 二氧化碳, 355, ppm
2026-03-02 20:02:29, 火焰强度, 4027, level
2026-03-02 20:02:29, 亮度, 257, lux
2026-03-02 20:02:39, 温度, 1, ℃
2026-03-02 20:02:39, 湿度, 1, rh%
2026-03-02 20:02:39, 二氧化碳, 355, ppm
2026-03-02 20:02:39, 火焰强度, 4027, level
2026-03-02 20:02:39, 亮度, 257, lux
2026-03-02 20:02:49, 温度, 1, ℃
2026-03-02 20:02:49, 湿度, 1, rh%
2026-03-02 20:02:49, 二氧化碳, 355, ppm
2026-03-02 20:02:49, 火焰强度, 4027, level
2026-03-02 20:02:49, 亮度, 257, lux
2026-03-02 20:02:59, 温度, 16, ℃
2026-03-02 20:02:59, 湿度, 1, rh%
2026-03-02 20:02:59, 二氧化碳, 355, ppm
2026-03-02 20:02:59, 火焰强度, 350, level
2026-03-02 20:02:59, 亮度, 118, lux
2026-03-02 20:03:09, 温度, 16, ℃
2026-03-02 20:03:09, 湿度, 50, rh%
2026-03-02 20:03:09, 二氧化碳, 355, ppm
2026-03-02 20:03:09, 火焰强度, 4027, level
2026-03-02 20:03:09, 亮度, 118, lux
2026-03-02 20:03:19, 温度, 16, ℃
2026-03-02 20:03:19, 湿度, 50, rh%
2026-03-02 20:03:19, 二氧化碳, 350, ppm
2026-03-02 20:03:19, 火焰强度, 1, level
2026-03-02 20:03:19, 亮度, 153, lux
2026-03-02 20:03:29, 温度, 16, ℃
2026-03-02 20:03:29, 湿度, 50, rh%
2026-03-02 20:03:29, 二氧化碳, 350, ppm
2026-03-02 20:03:29, 火焰强度, 1, level
2026-03-02 20:03:29, 亮度, 143, lux
2026-03-02 20:03:39, 温度, 16, ℃
2026-03-02 20:03:39, 湿度, 50, rh%
2026-03-02 20:03:39, 二氧化碳, 350, ppm
2026-03-02 20:03:39, 火焰强度, 1, level
2026-03-02 20:03:39, 亮度, 169, lux
2026-03-02 20:03:49, 温度, 16, ℃
2026-03-02 20:03:49, 湿度, 50, rh%
2026-03-02 20:03:49, 二氧化碳, 350, ppm
2026-03-02 20:03:49, 火焰强度, 1, level
2026-03-02 20:03:49, 亮度, 169, lux
2026-03-02 20:03:59, 温度, 16, ℃
2026-03-02 20:03:59, 湿度, 50, rh%
2026-03-02 20:03:59, 二氧化碳, 350, ppm
2026-03-02 20:03:59, 火焰强度, 258, level
2026-03-02 20:03:59, 亮度, 169, lux
2026-03-02 20:04:09, 温度, 16, ℃
2026-03-02 20:04:09, 湿度, 50, rh%
2026-03-02 20:04:09, 二氧化碳, 350, ppm
2026-03-02 20:04:09, 火焰强度, 10325, level
2026-03-02 20:04:09, 亮度, 169, lux
2026-03-02 20:04:19, 温度, 16, ℃
